sample_id,taxon_id
2,13
2,18
2,36
2,37
2,38
2,49
2,50
2,64
2,66
2,79
2,80
2,113
2,123
2,125
2,134
2,137
2,142
2,143
2,144
2,145
2,148
2,154
2,170
2,171
2,190
2,191
2,192
2,193
2,197
2,233
2,250
2,254
2,264
2,271
2,273
2,274
2,276
2,279
2,281
2,290
2,297
2,298
2,299
1,36
1,145
1,264
1,275
1,279
5,13
5,31
5,49
5,80
5,93
5,99
5,100
5,143
5,150
5,171
5,199
5,202
5,224
5,239
5,250
5,273
5,276
5,300
5,302
4,120
4,123
4,154
4,155
4,172
4,173
4,180
4,191
4,199
4,225
4,226
4,230
4,250
4,255
4,264
4,273
4,276
4,280
4,288
4,290
4,329
8,123
8,145
8,150
8,155
8,169
8,170
8,180
8,190
8,191
8,199
8,222
8,224
8,250
8,255
8,264
8,271
8,276
8,280
8,281
8,288
8,290
7,3
7,15
7,49
7,120
7,123
7,145
7,150
7,155
7,170
7,180
7,181
7,199
7,220
7,222
7,224
7,241
7,250
7,254
7,255
7,261
7,264
7,280
7,281
7,288
7,290
7,292
6,15
6,22
6,49
6,62
6,63
6,75
6,80
6,99
6,120
6,123
6,137
6,150
6,155
6,170
6,181
6,191
6,199
6,220
6,222
6,224
6,237
6,241
6,250
6,254
6,255
6,264
6,273
6,274
6,275
6,276
6,281
6,290
9,336
10,49
10,50
10,52
10,61
10,79
10,93
10,94
10,95
10,98
10,103
10,110
10,122
10,123
10,134
10,155
10,169
10,171
10,197
10,211
10,212
10,221
10,224
10,227
10,234
10,243
10,255
10,276
10,279
10,280
10,281
10,282
10,289
10,293
10,295
10,296
10,316
10,322
10,323
10,324
10,326
11,110
11,123
11,124
11,243
11,273
11,287
12,3
12,110
12,123
12,124
12,273
12,287
13,123
13,336
14,57
14,62
14,76
14,123
14,127
14,154
14,155
14,170
14,247
14,264
14,271
14,275
14,281
14,290
14,336
15,12
15,54
15,60
15,123
15,125
15,127
15,128
15,145
15,148
15,154
15,155
15,170
15,184
15,191
15,222
15,258
15,264
15,271
15,275
15,281
15,284
15,290
15,336
16,32
16,54
16,123
16,125
16,145
16,148
16,154
16,187
16,191
16,215
16,222
16,224
16,241
16,245
16,255
16,264
16,267
16,268
16,271
16,290
17,4
17,52
17,54
17,85
17,120
17,123
17,125
17,139
17,154
17,170
17,184
17,191
17,222
17,241
17,255
17,261
17,264
17,267
17,271
17,273
17,279
17,281
17,290
17,320
18,110
18,122
18,263
19,122
19,123
19,134
19,197
19,289
19,293
20,125
20,141
20,154
20,271
20,276
20,290
21,32
21,123
21,125
21,191
21,265
21,271
22,26
22,31
22,49
22,52
22,79
22,98
22,103
22,110
22,122
22,123
22,134
22,148
22,171
22,197
22,201
22,221
22,224
22,234
22,243
22,255
22,263
22,289
22,293
22,295
22,296
22,310
23,100
23,123
23,141
23,145
23,148
23,154
23,191
23,263
23,288
24,43
24,49
24,79
24,85
24,313
25,280
25,336
27,2
27,6
27,35
27,49
27,50
27,58
27,77
27,80
27,123
27,127
27,142
27,148
27,150
27,154
27,169
27,171
27,173
27,213
27,222
27,254
27,255
27,263
27,264
27,271
27,276
27,281
29,122
29,142
29,171
29,184
29,190
29,263
29,284
29,287
29,331
32,31
32,75
32,122
32,142
32,158
32,171
32,184
32,190
32,263
32,276
32,284
32,287
32,331
31,31
31,54
31,75
31,122
31,142
31,158
31,169
31,171
31,184
31,190
31,263
31,276
31,284
31,287
31,331
30,76
30,123
30,124
30,191
30,222
30,263
30,267
30,271
33,100
33,123
33,154
33,190
33,263
33,279
33,281
34,27
34,46
34,49
34,54
34,60
34,61
34,100
34,112
34,120
34,123
34,124
34,140
34,145
34,148
34,154
34,155
34,169
34,170
34,191
34,193
34,208
34,210
34,241
34,264
34,265
34,267
34,271
34,278
34,279
34,281
34,283
34,333
35,263
39,54
39,127
39,128
39,191
38,54
38,123
38,125
38,191
38,264
41,123
41,137
41,155
41,191
41,250
41,254
41,264
41,271
41,279
41,281
41,290
44,3
44,15
44,22
44,50
44,56
44,80
44,120
44,123
44,137
44,145
44,150
44,155
44,180
44,191
44,217
44,220
44,222
44,224
44,237
44,250
44,254
44,255
44,264
44,271
44,275
44,279
44,281
44,290
43,2
43,15
43,22
43,46
43,56
43,57
43,63
43,64
43,80
43,120
43,123
43,137
43,145
43,148
43,150
43,155
43,170
43,180
43,181
43,191
43,199
43,213
43,217
43,220
43,222
43,224
43,237
43,241
43,250
43,254
43,255
43,261
43,264
43,271
43,274
43,275
43,279
43,281
43,290
42,155
42,181
42,222
42,241
40,50
40,56
40,63
40,120
40,123
40,148
40,155
40,170
40,181
40,191
40,199
40,222
40,225
40,241
40,254
40,255
40,264
40,271
40,275
40,281
40,290
48,2
48,22
48,44
48,54
48,74
48,80
48,100
48,120
48,123
48,137
48,139
48,145
48,150
48,155
48,172
48,180
48,191
48,199
48,211
48,217
48,220
48,222
48,224
48,226
48,231
48,241
48,248
48,262
48,264
48,268
48,281
48,285
48,287
47,120
47,123
47,155
47,181
47,222
47,241
47,264
47,281
49,197
51,6
51,39
51,69
51,80
51,92
51,123
51,127
51,137
51,148
51,150
51,161
51,170
51,182
51,191
51,213
51,264
51,268
51,275
51,290
52,2
52,9
52,11
52,21
52,29
52,39
52,46
52,54
52,59
52,60
52,76
52,80
52,86
52,102
52,120
52,123
52,125
52,137
52,143
52,145
52,148
52,154
52,158
52,161
52,184
52,187
52,190
52,222
52,241
52,261
52,263
52,267
52,275
52,281
52,284
52,290
53,49
53,63
53,101
53,103
53,123
53,173
53,203
53,224
53,226
53,263
53,288
56,125
56,290
57,122
57,263
59,35
59,49
59,63
59,79
59,85
59,89
59,94
59,153
59,155
59,173
59,175
59,197
59,221
59,222
59,227
59,229
59,234
59,237
59,254
59,255
59,264
59,312
59,327
59,328
59,330
59,334
61,222
61,226
64,124
64,126
64,141
64,148
64,267
64,271
64,284
66,3
66,8
66,26
66,31
66,33
66,49
66,50
66,52
66,53
66,61
66,63
66,79
66,93
66,94
66,95
66,98
66,103
66,110
66,117
66,123
66,134
66,137
66,142
66,146
66,148
66,150
66,155
66,160
66,165
66,169
66,171
66,190
66,197
66,201
66,217
66,221
66,222
66,224
66,227
66,234
66,235
66,238
66,243
66,244
66,255
66,263
66,266
66,276
66,277
66,279
66,280
66,281
66,282
66,289
66,293
66,294
66,295
66,313
66,314
66,316
66,317
66,319
66,321
66,322
66,323
66,324
66,325
66,326
67,31
67,52
67,53
67,61
67,79
67,93
67,94
67,98
67,110
67,117
67,123
67,134
67,146
67,154
67,155
67,169
67,171
67,190
67,197
67,201
67,217
67,221
67,224
67,227
67,234
67,237
67,238
67,243
67,255
67,263
67,266
67,276
67,280
67,289
67,293
67,294
67,323
69,31
69,52
69,79
69,93
69,94
69,98
69,110
69,123
69,134
69,146
69,155
69,197
69,217
69,221
69,234
69,243
69,263
69,266
69,276
69,279
69,280
69,281
69,289
69,293
69,324
69,325
68,53
68,61
68,79
68,93
68,98
68,110
68,123
68,134
68,155
68,169
68,171
68,174
68,179
68,190
68,197
68,217
68,234
68,235
68,243
68,276
68,277
68,279
68,289
68,293
68,321
68,322
68,323
68,325
68,326
70,123
70,125
70,131
70,150
70,264
70,267
70,271
70,284
70,288
71,26
71,36
