sample_id,taxon_id
99,241
99,258
99,264
99,271
99,275
100,65
102,35
102,49
102,63
102,86
102,89
102,100
102,137
102,163
102,196
102,217
102,221
102,224
102,232
102,234
102,250
102,254
102,264
102,276
102,290
102,315
102,319
102,322
102,332
102,334
104,7
104,10
104,23
104,26
104,30
104,36
104,43
104,73
104,79
104,95
104,97
104,110
104,118
104,123
104,148
104,151
104,161
104,168
104,172
104,189
104,193
104,197
104,230
104,266
104,284
104,292
105,7
105,10
105,23
105,26
105,36
105,73
105,79
105,97
105,110
105,118
105,123
105,148
105,151
105,161
105,168
105,172
105,189
105,197
105,266
105,284
103,7
103,10
103,14
103,23
103,30
103,36
103,43
103,73
103,79
103,95
103,97
103,110
103,118
103,123
103,148
103,151
103,161
103,172
103,189
103,193
103,197
103,201
103,205
103,230
103,256
103,266
103,284
107,25
107,33
107,41
107,81
107,89
107,93
107,103
107,108
107,171
107,186
107,196
107,224
107,253
107,259
107,303
106,13
106,15
106,19
106,20
106,25
106,34
106,40
106,82
106,83
106,87
106,89
106,96
106,100
106,103
106,104
106,105
106,114
106,121
106,157
106,171
106,199
106,217
106,218
106,219
106,224
106,226
106,230
106,243
106,257
106,259
106,286
106,302
106,336
108,122
108,124
108,126
108,129
108,146
108,148
108,156
108,191
108,197
108,263
108,271
108,301
110,89
110,222
110,223
110,227
110,304
110,305
110,306
110,307
110,308
110,309
